EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
1210498;0;GR;3901;Chur;Selias;1;7026;0;Maladers;2761639;1189300;de
1210499;0;GR;3901;Chur;Selias;2;7026;0;Maladers;2761652;1189305;de
1210500;0;GR;3901;Chur;Selias;4;7026;0;Maladers;2761674;1189310;de
1210501;0;GR;3901;Chur;Selias;5;7026;0;Maladers;2761725.283;1189360.574;de
1210502;0;GR;3901;Chur;Selias;7;7026;0;Maladers;2761724.211;1189352.997;de
1210504;0;GR;3901;Chur;Selias;10;7026;0;Maladers;2761699;1189350;de
1210505;0;GR;3901;Chur;Selias;11;7026;0;Maladers;2761718.134;1189347.572;de
1210506;0;GR;3901;Chur;Selias;11a;7026;0;Maladers;2761681;1189360;de
1210507;0;GR;3901;Chur;Selias;12a;7026;0;Maladers;2761667;1189361;de
1210508;0;GR;3901;Chur;Selias;14;7026;0;Maladers;2761708.724;1189362.986;de
1210509;0;GR;3901;Chur;Selias;16;7026;0;Maladers;2761710;1189365;de
1210510;0;GR;3901;Chur;Selias;17;7026;0;Maladers;2761700.726;1189356.008;de
1210511;0;GR;3901;Chur;Selias;19;7026;0;Maladers;2761685.389;1189358.86;de
1210512;0;GR;3901;Chur;Selias;19e;7026;0;Maladers;2761705;1189392;de
1210513;0;GR;3901;Chur;Wingert;18a;7026;0;Maladers;2761755;1189346;de
1210514;0;GR;3901;Chur;Wingert;28a;7026;0;Maladers;2761818;1189385;de
1210515;0;GR;3901;Chur;Wingert;77b;7026;0;Maladers;2761847;1189376;de
1210516;0;GR;3901;Chur;Unterdorf;25;7026;0;Maladers;2761770;1189385;de
1210517;0;GR;3901;Chur;Unterdorf;22;7026;0;Maladers;2761752;1189391;de
1210518;0;GR;3901;Chur;Unterdorf;23;7026;0;Maladers;2761761;1189395;de
1210519;0;GR;3901;Chur;Unterdorf;24;7026;0;Maladers;2761770;1189404;de
1210520;0;GR;3901;Chur;Unterdorf;21;7026;0;Maladers;2761747;1189412;de
1210521;0;GR;3901;Chur;Unterdorf;20;7026;0;Maladers;2761733;1189402;de
1210522;0;GR;3901;Chur;Unterdorf;35;7026;0;Maladers;2761730;1189425;de
1210523;0;GR;3901;Chur;Unterdorf;35a;7026;0;Maladers;2761741;1189429;de
1210524;0;GR;3901;Chur;Churerweg;31;7026;0;Maladers;2761764;1189429;de
1210525;0;GR;3901;Chur;Churerweg;32;7026;0;Maladers;2761759;1189437;de
1210526;0;GR;3901;Chur;Churerweg;36;7026;0;Maladers;2761743;1189446;de
1210527;0;GR;3901;Chur;Churerweg;37;7026;0;Maladers;2761733;1189448;de
