Grundstueck-Nummer;EGID;Gebaeude-Koordinate X;Gebaeude-Koordinate Y;Gebaeude-Baujahr;Gebaeude-Kategorie;Gebaeude-Klasse-Nummer;Gebaeude-Klasse;Gebaeude-Flaeche;Gebaeude-Geschosse;Gebaeude-Strasse;Gebaeude-Hausnummer;Gebaeude-PLZ;Gebaeude-Ort
1764;001 739 400;2758845;1190923;1901;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;92;3;Kettweg;8;7000;Chur
1869;191 204 837;2758393;1191136;2016;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen; ;5;Pulvermühlestrasse;34;7000;Chur
20687;001 210 517;2761752;1189391; ;   ;Anz. separate Wohnräume;  ; ;2;Dorfstrasse;30;7026;Maladers
4899;001 739 372;2758712;1190824;1959;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;110;3;Salvatorenstrasse;52;7000;Chur
7261;009 021 636;2760625;1188709;1995;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;88 1;Gebäude mit zwei Wohnungen;2;Kronenhofweg;18;7000;Chur
3448;001 740 869;2759054;1191301;1932;59 1;Anz. separate Wohnräume;1 ;59;2;Nelkenweg;1;7000;Chur
6486;001 740 699;2760928;1191888;1985;91 2;Anz. separate Wohnräume;2 ;91;3;Teuchelweg;53a;7000;Chur
5788;001 741 587;2758306;1192239;1975;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;956;8;Austrasse;24;7000;Chur
3826;001 738 722;2759458;1190925;1994;979 0;Anz. separate Wohnräume;0 ;979;6;Stadtgartenweg;6;7000;Chur
3754;001 740 841;2759266;1191383;1936;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;139;3;Daleustrasse;21;7000;Chur
3521;400 017 579;2759323;1191856;1954;Sonstige Hochbauten, anderweitig  nicht genannt;1274;nicht genannt 436; ;3;Calandastrasse;62c;7000;Chur
0;190 654 648;2757832;1190503;2011;14304  ;Anz. separate Wohnräume;  ;14304;2;Raschärenstrasse;37;7000;Chur
1786;001 739 428;2758525;1191203;1986;194  ;Anz. separate Wohnräume;  ;194;2;Güterstrasse;13;7000;Chur
5489;001 741 593;2758413;1192181;1974;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;351;16;Sardonastrasse;5;7000;Chur
3557;001 740 855;2759022;1191112;1890;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;78  ;Gebäude mit zwei Wohnungen;3;Rheinstrasse;21;7000;Chur
3466;001 738 736;2759755;1191184;1955;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen 535; ;6;Quaderstrasse;23;7000;Chur
3657;009 001 257;2759047;1191379;1933;125 1;Anz. separate Wohnräume;1 ;125;3;Tödistrasse;1;7000;Chur
5060;001 741 578;2758450;1192024;1971;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;468;7;Giacomettistrasse;37;7000;Chur
6616;001 740 666;2760447;1192607;1988;97  ;Anz. separate Wohnräume;  ;97;3;Ruchenbergstrasse;63;7000;Chur
1509;001 738 905;2759131;1190964;1900;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;147;5;Gäuggelistrasse;53;7000;Chur
4809;001 740 100;2760451;1192457;1960;137  ;Anz. separate Wohnräume;  ;137;3;Prasserieweg;12;7000;Chur
6675;400 017 586;2759790;1193801;2008;112  ;Anz. separate Wohnräume;  ;112;2;Dammweg;1;7000;Chur
10766;400 017 592;2759763;1193908;2003;134  ;Anz. separate Wohnräume;  ;134;2;Dammweg;102;7000;Chur
4819;191 635 174;2759927;1192528;2018;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;245;4;Carmennaweg;7;7000;Chur
5506;001 740 114;2760289;1192622;1970;138  ;Anz. separate Wohnräume;  ;138;2;Tellostrasse;7;7000;Chur
3996;001 738 911;2759348;1191139;1942;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;1270;5;Engadinstrasse;8;7000;Chur
6556;001 740 672;2760403;1192555;1990;105  ;Anz. separate Wohnräume;  ;105;4;Ruchenbergstrasse;75;7000;Chur
;009 001 243;2759901;1191104;1995;876 2;Anz. separate Wohnräume;2 ;876;6;Steinbruchstrasse;12;7000;Chur
1286;001 741 544;2758184;1192144;1957;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;581;4;Austrasse;18;7000;Chur
4049;001 740 882;2758992;1191315;1938;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;534;4;Tödistrasse;9;7000;Chur
2726;191 218 239;2758605;1191711;2015;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;230;4;Rheinstrasse;115;7000;Chur
9843;090 001 748;2759870;1191737;2001;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;171;4;Sonnenbergstrasse;8;7000;Chur
1765;001 739 399;2758837;1190910;1906;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;95;4;Kettweg;6;7000;Chur
3913;001 741 222;2758642;1191348;1946;69 1;Anz. separate Wohnräume;1 ;69;2;Fliederweg;21;7000;Chur
9029;001 740 128;2760229;1192606;1970;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;186 2;Gebäude mit zwei Wohnungen;2;Arlibonstrasse;33;7000;Chur
1350;001 741 236;2758682;1191255;1978;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;313;3;Untere Plessurstrasse;56;7000;Chur
3273;191 415 234;2759158;1191482;1920;47  ;Anz. separate Wohnräume;  ;47;1;Scalettastrasse;24;7000;Chur
3697;001 740 896;2759338;1191438;1934;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;128;3;Tittwiesenstrasse;1;7000;Chur
2759;001 739 164;2760768;1188592; ;68  ;Anz. separate Wohnräume;  ;68;3;Araschgerstrasse;102;7000;Chur
3209;400 017 747;2759644;1190788;1800;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen  ; ;5;Rathausgasse;8;7000;Chur
5804;009 001 096;2757768;1191574;1980;628 1;Anz. separate Wohnräume;1 ;628;2;Industriestrasse;11;7000;Chur
5757;001 739 602;2759680;1192789;1974;204  ;Anz. separate Wohnräume;  ;204;1;Schellenbergstrasse;38;7000;Chur
6419;001 741 961;2758519;1191884;1984;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;528;4;Rheinstrasse;138;7000;Chur
0;001 738 508;2759558;1190752;1850;Gebäude mit drei oder mehr  Wohnungen;1122;Wohnungen 305; ;6;Herrengasse;4;7000;Chur
10339;190 013 200;2759799;1194008;2002;135  ;Anz. separate Wohnräume;  ;135;2;Dammweg;68;7000;Chur
5785;001 739 616;2759699;1192785;1974;233  ;Anz. separate Wohnräume;  ;233;1;Schellenbergstrasse;52;7000;Chur
